Companies,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03
Walt Disney,Communication Services_89.28_4121000000_163141789329_37_13.5_34.5,Communication Services_88.89_4121000000_162429140383_35.7_13.5_34.5,Communication Services_83.68_2252000000_153115889064_36.4_8.3_32.2,Communication Services_81.05_2252000000_148303570848_35_8.3_32.2,Communication Services_81.59_2252000000_149291651395_34.9_8.3_32.2,Communication Services_92.69_2354000000_169651982717_31.2_7.5_32.3,Communication Services_90.29_2354000000_165259224507_30.3_7.5_32.3,Communication Services_96.05_2354000000_175801844212_32.6_7.5_32.3,Communication Services_111.58_2986000000_204671443381_35.3_5.4_38.4,Communication Services_122.36_2986000000_224445221475_38.7_5.4_38.4
Equinix,Real Estate_783.94_815678000_73316622093_92.4_11.1_119.5,Real Estate_809.92_815678000_75746356309_94_11.1_119.5,Real Estate_781.38_806386000_73109762659_89.4_11.5_123.1,Real Estate_726.26_806386000_67952463883_81.9_11.5_123.1,Real Estate_729.64_870373000_68501101487_77.2_12_126.1,Real Estate_815.01_870373000_76515929394_87.9_12_126.1,Real Estate_805.39_870373000_75612770855_86.9_12_126.1,Real Estate_829.77_870373000_77901648732_90.8_12_126.1,Real Estate_888.82_969178000_84101436300_86.7_12.7_114.8,Real Estate_825.33_969178000_78093920503_80.5_12.7_114.8
First Solar,Information Technology_190.09_41650000_20306492371_0_12.6_-32.4,Information Technology_207.4_156424000_22156831116_87.4_20.6_-23.2,Information Technology_189.12_156424000_20203953233_77.6_20.6_-23.2,Information Technology_161.59_156424000_17262884956_67.8_20.6_-23.2,Information Technology_142.45_156424000_15219957999_57.2_20.6_-23.2,Information Technology_157.78_473990000_16857879769_29.6_25.3_-20.3,Information Technology_172.28_473990000_18407120843_32.3_25.3_-20.3,Information Technology_146.3_473990000_15631308216_28_25.3_-20.3,Information Technology_153.89_830777000_16442981684_18.2_26.7_-22.1,Information Technology_168.8_830777000_18065911827_20_26.7_-22.1
Alphabet Inc (Class A),Communication Services_119.7_58587000000_1527850950000_25.5_5.3_-33,Communication Services_132.72_60953000000_1675899495000_27_4.1_-33.3,Communication Services_136.17_60953000000_1724328960000_27.6_4.1_-33.3,Communication Services_130.86_60953000000_1656189855000_26.6_4.1_-33.3,Communication Services_124.08_66732000000_1560502310000_23.1_5.3_-33.1,Communication Services_132.53_66732000000_1667309965000_24.6_5.3_-33.1,Communication Services_139.69_66732000000_1756000300000_25.9_5.3_-33.1,Communication Services_140.1_73795000000_1752242650000_24.8_8.7_-29,Communication Services_138.46_73795000000_1729532440000_22.6_8.7_-29,Communication Services_150.93_73795000000_1884633005000_24.7_8.7_-29
Goldman Sachs,Financials_322.54_10556000000_110953760000_11_32.9_65.7,Financials_355.87_8845000000_122419280000_14.5_55.8_103.4,Financials_327.71_8845000000_111822189330_13.4_55.8_61.4,Financials_323.57_8845000000_110409526110_13.2_55.8_61.4,Financials_303.61_7834000000_103598715030_14.1_63.7_134.2,Financials_341.54_7834000000_115325892687_16_63.7_89,Financials_385.77_7834000000_130260788258_18.1_63.7_89,Financials_384.01_8516000000_129666498948_16.7_57.8_151.3,Financials_389.05_8516000000_131154460029_16.8_57.8_104.7,Financials_417.69_8516000000_140376849623_18.1_57.8_104.7
W W Grainger,Industrials_788.59_1669000000_39561166141_24.5_15.4_74.2,Industrials_738.49_1768000000_36925152087_21.3_12.7_69.5,Industrials_714.14_1768000000_35707630586_21.2_12.7_69.5,Industrials_691.84_1768000000_34592610895_20.2_12.7_69.5,Industrials_729.83_1818000000_36224491695_20.5_10.1_62.9,Industrials_786.19_1818000000_39021872389_22.2_10.1_62.9,Industrials_828.69_1818000000_41131323764_23.4_10.1_62.9,Industrials_895.64_1818000000_44454330106_25.9_10.1_62.9,Industrials_973.46_1829000000_47868296105_26.5_8.2_60.8,Industrials_1017.3_1829000000_49983212498_27.7_8.2_60.8
Halliburton,Energy_32.99_1960000000_29763409751_14.6_34.5_83.9,Energy_39.08_2461000000_35115188661_13.6_28.1_79.9,Energy_38.62_2461000000_34701857372_13.9_28.1_79.9,Energy_40.5_2461000000_36391124381_14.4_28.1_79.9,Energy_39.34_2633000000_35211335530_13.2_20.4_74.7,Energy_37.03_2633000000_33143766006_12.4_20.4_74.7,Energy_36.15_2633000000_32356120473_12.1_20.4_74.7,Energy_35.65_2638000000_31908594602_12.2_13.4_69.4,Energy_35.07_2638000000_31215863147_11.6_13.4_71.1,Energy_39.42_2638000000_35087805111_13.1_13.4_71.1
IBM,Information Technology_133.81_1834000000_121505556847_15.5_-9.9_204.3,Information Technology_144.18_2025000000_131348879683_16.4_-5.5_197.6,Information Technology_146.83_2025000000_133763046219_16.8_-5.5_197.6,Information Technology_140.3_2025000000_127814175472_16.1_-5.5_197.6,Information Technology_144.64_6925000000_132073471556_16_1.1_205.3,Information Technology_158.56_6925000000_144784082203_17.7_1.1_205.3,Information Technology_163.55_6925000000_149340543923_18.2_1.1_205.3,Information Technology_183.66_7502000000_167703358586_22.9_2.2_205.6,Information Technology_185.03_7502000000_169625299225_21.5_2.2_205.6,Information Technology_190.96_7502000000_175061596174_22.2_2.2_205.6
Coca Cola Company ,Consumer Staples_60.22_9868000000_260426098542_23.7_8.4_104.6,Consumer Staples_61.93_10510000000_267806674207_23.9_6.8_94.1,Consumer Staples_59.83_10510000000_258725550102_23.1_6.8_94.1,Consumer Staples_55.98_10510000000_242076822576_21.4_6.8_94.1,Consumer Staples_56.49_10772000000_244229646127_21.1_6.3_88.9,Consumer Staples_58.44_10772000000_252660303056_22_6.3_88.9,Consumer Staples_58.93_10772000000_254778775823_22.2_6.3_88.9,Consumer Staples_59.49_10772000000_257199887557_22.5_6.3_88.9,Consumer Staples_60.02_10714000000_258833619203_22.6_6.4_108.3,Consumer Staples_61.18_10714000000_263758643845_23_6.4_108.3
Mettler Toledo,Health Care_1311.64_886927000_28882614477_33_3.7_8206.9,Health Care_1257.47_888784000_27494352690_32.4_2.3_8206.9,Health Care_1213.48_888784000_26532519347_30.2_2.3_8206.9,Health Care_1108.07_888784000_24227748881_27.5_2.3_8206.9,Health Care_985.2_888784000_21541218694_23.8_2.3_8206.9,Health Care_1091.93_869818000_23677193918_27.4_0.3_8206.9,Health Care_1212.96_869818000_26301584474_30.5_0.3_8206.9,Health Care_1197.19_869818000_25959630916_31.1_0.3_8206.9,Health Care_1247.22_788778000_26788670450_33.7_-3.4_8206.9,Health Care_1331.29_788778000_28473558630_36_-3.4_8206.9
